text;label
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
1/11Allianz Composio Entreprise;Null
Contrat Socle Santé;Null
Etude tarifaire – Entreprise;Null
Projet présenté par :;Null
JADIS ET ASSOCIES SAS;Null
71 AV DE LA RESISTANCE BP 15;Null
93340 LE RAINCY;Null
Tel : 01 43 02 72 09;Null
N° Orias : 07002033;Null
N° d’Étude tarifaire : 1237439A l’Attention de;Null
AXOO;Null
21 AVENUE GEORGE V;Null
75008 PARIS;Null
N° Siret : 92187904500018;Null
Représentant de l’entreprise;Null
ANTHO ANTHO;Null
anthony.ravin@jadis-assurances.com;Null
06 10 78 60 60;Null
Le 19/04/2023,;Null
Vous trouverez ci-dessous le récapitulatif de votre Etude tarifaire « Allianz Composio Entreprise » comportant les garanties sélectionnées en matière de;Null
couverture en frais de santé pour vos salariés.;Null
Les caractéristiques de votre Entreprise;Null
Salariés – Bénéficiaires des garanties;Null
Quelle catégorie de personnel souhaitez-vous assurer ?;Null
Ensemble du personnel;Null
La totalité des salariés présents et futurs appartenant à la catégorie de personnel à assurer devra obligatoirement être couverte dans le cadre de votre adhésion;Null
sous réserve des cas de dispenses admis par la réglementation en vigueur.;Null
Vous déclarez que la catégorie de personnel visée ci-dessus est conforme aux dispositions des articles R.242-1-1 et suivants du code de la Sécurité sociale.;Null
Pour mémoire, le bénéfice de l’exonération des cotisations de Sécurité sociale sur vos contributions destinées au financement des garanties prévues par votre;Null
régime est subordonné à leur caractère collectif et obligatoire.;Null
Quelle est la date d’effet souhaitée pour adhésion : 01/06/2023;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
2/11Quelles sont les caractéristiques des salariés de votre entreprise ?;Null
Effectif Age moyen Département Régime de base NAF;Null
5 44 ans 75 Régime Général (RG) 6202A;Null
CCN 1486-CCN applicable au personnel des bureaux d'études techniques, des cabinets d'ingénieurs-conseils et des sociétés de;Null
conseils(BET, SYNTEC);Null
Bénéficiaires;Null
Pour les garanties du contrat Socle Santé, souhaitez-vous assurer :;Null
les salariés et les membres de leur famille bénéficiant du régime général de la Sécurité sociale (conjoint, partenaire lié par un PACS ou concubin déclaré;Null
lors de l’affiliation ou dans les 6 mois suivant l’organisation de la vie commune, enfants ou ayants droit).;Null
Allianz Vie;Null
S.A. au capital de 643 054 425 euros;Null
340 234 962 RCS Nanterre;Null
N° TVA : FR88 340 234 962;Null
www.allianz.frAllianz IARD;Null
S.A. au capital de 991.967.200 euros;Null
542 110 291 RCS Nanterre;Null
N° TVA : FR76 542 110 291Entreprises régies par le Code;Null
des assurances;Null
Siège social : 1 cours Michelet - CS 30051;Null
92076 PARIS LA DEFENSE CEDEX;Null
3/11Les garanties que vous avez choisies;Null
Les garanties des contrats Socle Santé et Renforts Santé sont décrites dans le tableau ci-après.;Null
